title,video_id,views,likes,comment_count,published_at,data,hora
Itaú Unibanco | Financial Results 1Q24,WOUWBm6wIAM,12169,61,2,2024-05-06 21:37:25+00:00,2024-05-06,21:37:25
Itaú Unibanco | Resultados Financeiros 1T24,-Nn2pnD4MqI,32330,276,9,2024-05-06 21:37:31+00:00,2024-05-06,21:37:31
ITUB4 - Resultados 1T24 - Itaú Unibanco,mJJgbdwl_Mc,7934,157,1,2024-05-07 15:05:11+00:00,2024-05-07,15:05:11
ITUB4 - 1Q24 Results - Itaú Unibanco,_spAr2hcfew,3058,31,0,2024-05-07 15:06:19+00:00,2024-05-07,15:06:19
Nova experiência digital no app Itaú Empresas,_QGvfgeLiik,18694,148,4,2024-05-08 21:32:48+00:00,2024-05-08,21:32:48
Novo Limite da Conta - EP 3: 5 dias sem juros,pGCGyUD-rQQ,3438,58,1,2024-05-09 14:30:56+00:00,2024-05-09,14:30:56
Conexão Itaú Experience 2024,46lPnBjbZ_o,6288,60,3,2024-05-09 20:54:05+00:00,2024-05-09,20:54:05
Conheça o Clube de Vinhos no Itaú Shop,gtPITB7XCV0,2994,42,2,2024-05-22 13:35:03+00:00,2024-05-22,13:35:03
"Crédito Imobiliário Itaú Uniclass - TR, Selic e variação de parcela? Entenda.",QidBMoYCBGU,7468,83,5,2024-05-23 14:20:53+00:00,2024-05-23,14:20:53
"Crédito Imobiliário Itaú - TR, Selic e variação de parcela? Entenda.",ol9tLXNCLHA,4319,75,0,2024-05-23 15:01:29+00:00,2024-05-23,15:01:29
Carreiras Itaú | Manifesto Varejo,61J32Pt1u78,7277,87,3,2024-05-23 19:16:49+00:00,2024-05-23,19:16:49
Carreiras que levam nossas soluções até os clientes | Itaú,k_62nV8whLc,3818,29,4,2024-05-23 20:52:26+00:00,2024-05-23,20:52:26
Carreiras que garantem a melhor experiência e visão integrada dos nossos clientes,1Kvovx4IZiA,10686,262,12,2024-05-24 21:30:09+00:00,2024-05-24,21:30:09
Carreiras que constroem soluções para nossos clientes,GmH5uhS5ukU,20384,270,8,2024-05-24 21:37:02+00:00,2024-05-24,21:37:02
Itaú Data Meetup #34 Mamães em dados,VzgFzBGV3oA,1653,19,0,2024-05-29 15:06:54+00:00,2024-05-29,15:06:54
Itaú Uniclass | Ter planos é bom. Realizar é Uniclass.,09Pq6-gaXlI,133249,323,24,2024-05-29 21:31:04+00:00,2024-05-29,21:31:04
Cashback em lojas parceiras | Itaú Shop,etJ1jad-Y8w,9176,70,6,2024-06-05 18:17:32+00:00,2024-06-05,18:17:32
Itaú Day 2024,7XkvvYP5-4M,60309,1231,48,2024-06-19 15:24:34+00:00,2024-06-19,15:24:34
Itaú Day 2024 - English version,xRP9N2jiJSY,5432,52,1,2024-06-19 15:31:22+00:00,2024-06-19,15:31:22
"Itaú Day 2024 - Acessibilidade (Libras, CC e audiodescrição)",QHbiAnf1msI,4620,50,0,2024-06-20 01:17:01+00:00,2024-06-20,01:17:01
