title,video_id,views,likes,comment_count,published_at,data,hora
Bradesco Net Empresa.,7ElaJe2WRLk,160919,619,20,2013-11-25 22:30:01+00:00,2013-11-25,22:30:01
Sociedade de Negócios - Alexandre Guerra (Giraffas),O5WY7Hww4IA,10221,61,4,2013-12-11 12:19:44+00:00,2013-12-11,12:19:44
Bradesco - Quero que todo mundo tenha,sjNwpFkI7DU,1929068,149,19,2013-12-17 20:39:17+00:00,2013-12-17,20:39:17
Crédito Bradesco - Início de ano,Rgla7uHlfmA,47211,105,10,2014-01-08 19:42:25+00:00,2014-01-08,19:42:25
Carnaval é BRA,DuCMvR_ipwM,72656,98,10,2014-02-24 17:08:58+00:00,2014-02-24,17:08:58
Tudo de BRA para você - Narração Maria Gadú,4qIGN3Sji60,1643442,326,39,2014-03-24 12:52:21+00:00,2014-03-24,12:52:21
Tudo de BRA para você - Narração Otaviano Costa,6zbaJc-2wdg,1261044,471,35,2014-03-24 12:53:01+00:00,2014-03-24,12:53:01
Tudo de BRA para você - Narração Luiz Melodia,3gafylo_CYg,1128326,168,14,2014-03-24 12:53:22+00:00,2014-03-24,12:53:22
Tudo de BRA para você - Narração Lázaro Ramos.,6gDbWi7zt6I,1134800,197,29,2014-03-24 12:53:51+00:00,2014-03-24,12:53:51
Programa de Fidelidade Cartões Bradesco,JWXxVPFu1ME,861327,502,17,2014-04-17 19:29:13+00:00,2014-04-17,19:29:13
Bradesco - Viver é Prime,5UQmqGgOz3o,1562303,5765,478,2014-05-19 11:50:14+00:00,2014-05-19,11:50:14
InovaBRA,A6upLSBxh3w,16627,102,1,2014-08-06 17:54:25+00:00,2014-08-06,17:54:25
Bradesco Celular - Seu Banco sempre à mão.,wj-4eB_vZ0Q,196501,940,74,2014-08-16 00:05:47+00:00,2014-08-16,00:05:47
Bradesco Celular - Seu banco sempre à mão - Na cozinha,_MRT1Qw2YT0,39837,122,11,2014-08-27 19:58:59+00:00,2014-08-27,19:58:59
Bradesco Celular - Seu banco sempre à mão - No ônibus,o8XxxOwMWRQ,28357,120,5,2014-09-01 19:54:30+00:00,2014-09-01,19:54:30
Bradesco Celular - Seu banco sempre à mão - Casamento,DrFAIO5jFtw,106294,506,24,2014-09-08 19:53:42+00:00,2014-09-08,19:53:42
Bradesco Celular - Fogo,wkXPxsY4Zyg,1008150,142,24,2014-09-18 20:43:31+00:00,2014-09-18,20:43:31
Bradesco Celular - Mágico,u_wQGu4fyR8,388705,129,13,2014-09-18 20:43:44+00:00,2014-09-18,20:43:44
Bradesco celular - Adolescente,z8rbQPJlM5A,999275,84,14,2014-09-18 20:43:56+00:00,2014-09-18,20:43:56
Bradesco Celular - Conta,96Eyaimqafk,2195172,166,14,2014-09-19 13:59:29+00:00,2014-09-19,13:59:29
Crédito Consignado - Happy,7_WkP5nSIgA,809172,172,31,2014-10-01 14:54:14+00:00,2014-10-01,14:54:14
Ciclo de Palestras – Startups e o Mundo Corporativo: Oportunidades e Desafios.,HDeyOtvwqZc,146736,1039,83,2014-10-13 14:14:28+00:00,2014-10-13,14:14:28
Bradesco Celular – Só falta falar,U6KLadZCP3o,49010,151,18,2014-10-13 22:13:12+00:00,2014-10-13,22:13:12
Esporte une e transforma,IaETvmKgBX0,13951,25,4,2014-10-29 20:17:35+00:00,2014-10-29,20:17:35
Sociedade de Negócios – Cristina Franco (ABF),mxk08hZ5fVU,15333,34,5,2014-11-11 18:37:27+00:00,2014-11-11,18:37:27
Promoção Fonte dos Desejos,0y87sLTsxvY,1903268,110,20,2014-11-19 19:01:31+00:00,2014-11-19,19:01:31
Vote com Bradesco – Mascotes Rio 2016,z-4FcMwhhbs,1242973,433,65,2014-11-23 23:25:51+00:00,2014-11-23,23:25:51
Voluntários Rio 2016,tcv1BCIbdyM,14522,65,1,2014-12-03 11:12:04+00:00,2014-12-03,11:12:04
Acredite sempre!,gRFHKLmriIA,68860,295,27,2014-12-15 10:26:42+00:00,2014-12-15,10:26:42
Festa no Sertão - O aniversário de Cecília,Lye0H2mKAF4,6460443,31190,2131,2014-12-23 23:20:16+00:00,2014-12-23,23:20:16
Sociedade de Negócios – Victor Simas  (CONFENAR),N_RVTraWiB8,8086,22,4,2014-12-24 12:43:19+00:00,2014-12-24,12:43:19
"Na vida e no Esporte, tudo é Possível",caFQaDk4UlQ,19235,39,0,2015-01-29 18:29:26+00:00,2015-01-29,18:29:26
Mulheres do Rugby,Q11K2Tj6_OA,22042,100,9,2015-02-06 19:21:48+00:00,2015-02-06,19:21:48
Poupança Fácil Bradesco,T28AD33LYFA,3310242,2715,305,2015-03-09 22:42:37+00:00,2015-03-09,22:42:37
500 dias para os Jogos Olímpicos Rio 2016,gAp9sKU_ZuU,54560,87,0,2015-03-24 14:08:30+00:00,2015-03-24,14:08:30
Este banco é BRA,OG_mZL0Uq50,410564,1424,256,2015-04-20 19:57:52+00:00,2015-04-20,19:57:52
Sociedade de Negócios - Ricardo Bomeny (Bob's),t6KQt_k_8mI,6236,43,2,2015-04-23 12:13:02+00:00,2015-04-23,12:13:02
Bradesco Celular - Corre-corre de segunda-feira. :),uGAtUOlzz4A,566707,100,9,2015-05-25 23:29:43+00:00,2015-05-25,23:29:43
