title,video_id,views,likes,comment_count,published_at,data,hora
Pequena empresa: como atravessar a crise? | C6 Talks,Sv52M4aBJRw,2279,204,18,2020-05-14 23:18:32+00:00,2020-05-14,23:18:32
MULHERES NA TECNOLOGIA | C6 Talks Tech,-byzUtYSP14,1323,138,9,2020-05-19 23:12:15+00:00,2020-05-19,23:12:15
PLANEJAMENTO FINANCEIRO (PARTE 3) - PÍLULA FINANCEIRA C6 | EP. 7,6m5xZ511I5g,6565,414,16,2020-05-20 20:40:21+00:00,2020-05-20,20:40:21
MERCADO DE TECNOLOGIA: COMO CONSTRUIR UMA CARREIRA?,MBJByX89MJg,618,76,5,2020-05-21 23:09:28+00:00,2020-05-21,23:09:28
O DESIGN COMO FERRAMENTA DE TRANSFORMAÇÃO | C6 Talks,M_gao7vKOWk,518,51,11,2020-05-26 23:17:04+00:00,2020-05-26,23:17:04
AO VIVO: APRENDA A INVESTIR EM AÇÕES | C6 Talks,LRRC6QDS5r4,2960,232,24,2020-05-28 23:09:31+00:00,2020-05-28,23:09:31
COMO CORTAR DESPESAS? - PÍLULA FINANCEIRA C6 | EP. 8,jRMDM1N0Ong,11811,792,48,2020-05-30 13:42:59+00:00,2020-05-30,13:42:59
CARTÃO DE CRÉDITO: COMO DOMINAR O SEU - PÍLULA FINANCEIRA C6 | EP. 9,z4Sjv5u7QL8,7130,525,33,2020-06-04 19:26:21+00:00,2020-06-04,19:26:21
#CompreDoPequeno: tendências de consumo | C6 Talks,f77nAkQy3K8,446,45,4,2020-06-04 23:00:24+00:00,2020-06-04,23:00:24
6 dicas para deixar a sua casa aconchegante | C6 Talks,sIizP8YF4rI,684,58,5,2020-06-09 23:05:42+00:00,2020-06-09,23:05:42
CRÉDITO ROTATIVO E CHEQUE ESPECIAL - PÍLULA FINANCEIRA C6 | EP. 10,NDHL5TaGA2c,7047,390,18,2020-06-13 13:32:42+00:00,2020-06-13,13:32:42
Já somos 2 milhões #C6Bank2MM,Smuyi0QSRRM,5849,578,147,2020-06-15 19:00:31+00:00,2020-06-15,19:00:31
Moda em quarentena. E agora? | C6 Talks,XWGu5xh-jvI,485,44,3,2020-06-16 23:19:58+00:00,2020-06-16,23:19:58
Nove estagiários e uma boa notícia | C6 Bank,ExqtBkMXE8I,1984,176,24,2020-06-17 20:54:32+00:00,2020-06-17,20:54:32
EXISTEM DÍVIDAS BOAS? - PÍLULA FINANCEIRA C6 | EP. 11,UTMZI_Dl5KY,5471,376,28,2020-06-20 13:24:43+00:00,2020-06-20,13:24:43
6 PERGUNTAS SOBRE CRÉDITO CONSIGNADO - PÍLULA FINANCEIRA C6 | EP. 12,VNkqWpf-uds,8728,412,55,2020-06-27 14:04:10+00:00,2020-06-27,14:04:10
C6 Bank + TIM: conheça os benefícios da parceria,7gZM0c4QlQo,5885,252,61,2020-07-11 00:15:55+00:00,2020-07-11,00:15:55
Por que fazer uma reserva de emergência? - Pílula Financeira C6 | Ep. 13,ewCcPLDj7g8,14772,1038,57,2020-07-11 17:59:33+00:00,2020-07-11,17:59:33
