title,video_id,views,likes,comment_count,published_at,data,hora
Como enviar uma cobrança pela conta do Nubank,utOvCTHFs-Q,101007,4829,312,2018-09-19 15:23:43+00:00,2018-09-19,15:23:43
"Em outubro, lançaremos juntos",455dacT6txs,74428,3689,507,2018-09-26 18:19:58+00:00,2018-09-26,18:19:58
Conheça o novo cartão de crédito do Nubank,H1fRka5jLt4,793750,5682,552,2018-10-03 20:32:09+00:00,2018-10-03,20:32:09
Unboxing: recebidos do Nu!,EenDBZS-UKc,62128,5874,518,2018-10-10 20:06:00+00:00,2018-10-10,20:06:00
Tudo sobre transferências pela conta do Nubank,KLWm7zyX2UY,624359,18722,676,2018-10-17 14:48:21+00:00,2018-10-17,14:48:21
O maior unboxing simultâneo do planeta é do Nubank,tIWEDMOB13g,24728,2135,201,2018-10-25 14:19:56+00:00,2018-10-25,14:19:56
Tudo sobre o contactless do cartão de crédito Nubank,iTuvrJVEtjI,471589,21020,858,2018-11-01 15:01:15+00:00,2018-11-01,15:01:15
Hipnose Nubank para a Black Friday,l_dT4qTch3o,19461,2419,295,2018-11-21 13:57:25+00:00,2018-11-21,13:57:25
Conheça os Nubankers | Gustavo Franco | EP8,eSqXD8w8zgE,21709,1850,102,2018-12-06 14:34:06+00:00,2018-12-06,14:34:06
Chegou o débito Nubank,gzqRivrfmXA,23502,2446,282,2018-12-20 13:34:54+00:00,2018-12-20,13:34:54
O caminho está livre,-VSKf56sxk8,11637,997,63,2018-12-22 12:15:01+00:00,2018-12-22,12:15:01
Nubank 2018 | Obrigado por fazer parte disso,4RcCRmnb7yw,27989,3078,304,2018-12-27 16:13:06+00:00,2018-12-27,16:13:06
Como é ser data scientist no Nubank,umq9kCJFavw,104234,5201,178,2019-01-16 21:10:09+00:00,2019-01-16,21:10:09
Tudo sobre a função débito e saque Nubank,uljfZ4gLtoM,244915,11104,903,2019-01-30 12:48:15+00:00,2019-01-30,12:48:15
Respondendo 10 perguntas sobre a conta do Nubank,oqCxczGbS4I,148846,7966,670,2019-02-06 13:43:39+00:00,2019-02-06,13:43:39
Lançamos empréstimos pessoais do Nubank,sB-B47CcnTA,103170,4538,267,2019-02-13 14:07:11+00:00,2019-02-13,14:07:11
Por dentro da fábrica dos cartões do Nubank,Igio_IMXJo8,3392494,147300,6244,2019-02-20 14:05:55+00:00,2019-02-20,14:05:55
Como é ser Xpeer no Nubank,w9GbIfolvUs,80069,4591,447,2019-02-27 14:06:32+00:00,2019-02-27,14:06:32
"Perdi o meu cartão Nubank, e agora?",N3m9nCaINP4,248493,11092,483,2019-03-06 15:10:35+00:00,2019-03-06,15:10:35
Nubank nos rankings mundiais em 2019,lddjUMYxAZs,27223,3188,313,2019-03-20 14:33:01+00:00,2019-03-20,14:33:01
O que é CDI e como ele pode afetar seu dinheiro? | Direto ao Ponto,pD62TFvvRp8,213988,9578,270,2019-04-03 14:02:39+00:00,2019-04-03,14:02:39
5 perguntas sobre o cartão de crédito Nubank,ka3OikCkXEw,271632,13710,825,2019-04-10 15:14:23+00:00,2019-04-10,15:14:23
Imposto de Renda SEM COMPLICAÇÃO | Direto ao Ponto,7t7WBsnTfH0,74807,5868,183,2019-04-17 15:05:56+00:00,2019-04-17,15:05:56
"Conheça a NuCommunity, a comunidade oficial do Nubank",TR9oJPQjwtM,29286,2858,177,2019-04-24 14:19:17+00:00,2019-04-24,14:19:17
Nubankers reagem a mitos da internet sobre o Nubank,blre56x6Cw8,40520,3757,337,2019-05-02 14:00:02+00:00,2019-05-02,14:00:02
Nubank está chegando ao México #ElFuturoEsMorado,Qk6d7eaW9mo,21838,2264,265,2019-05-08 15:09:07+00:00,2019-05-08,15:09:07
Entenda O QUE É IOF e como esse imposto é calculado | Direto ao Ponto,dUo_498tc8E,144442,8613,349,2019-05-15 14:57:43+00:00,2019-05-15,14:57:43
Como é trabalhar com engenharia de software no Nubank,tOzvNTzRMP8,102999,4716,209,2019-05-22 17:25:08+00:00,2019-05-22,17:25:08
Nubankers reagem a perguntas do Google,0fbn01PYqI0,24839,3184,310,2019-05-29 14:39:57+00:00,2019-05-29,14:39:57
Aprenda como fazer depósitos na sua conta do Nubank,FV8YZG7MtvM,727189,31444,1116,2019-06-05 15:05:15+00:00,2019-06-05,15:05:15
Como foi o dia dos namorados no Nubank,E2EUZVmZ-8I,9255,1105,101,2019-06-17 14:12:49+00:00,2019-06-17,14:12:49
É hora de finalmente entender O QUE É RDB | Direto ao Ponto,wHXU8GEgu08,240865,14913,473,2019-06-19 15:27:08+00:00,2019-06-19,15:27:08
Liberdade pra ser você mesmo,uiUCHAjdi-o,22430,1328,173,2019-06-26 15:55:14+00:00,2019-06-26,15:55:14
Como é ser Product Manager no Nubank,cy1YwS57wa8,73696,2602,140,2019-07-10 14:51:51+00:00,2019-07-10,14:51:51
Qual é a diferença entre TED e DOC? | Direto ao Ponto,EkdogihEvXM,486387,26302,492,2019-07-24 14:40:18+00:00,2019-07-24,14:40:18
1h de motivos para gastar com comida,fM6s1c0JcvI,443800,1645,323,2019-08-01 14:20:37+00:00,2019-08-01,14:20:37
Banco tradicional Nubank,tio4fy7JuSc,344097,2744,220,2019-08-07 14:08:32+00:00,2019-08-07,14:08:32
O maior meetup de Data Science da América Latina,yVL8fwNA6XU,10529,1122,71,2019-08-14 14:57:56+00:00,2019-08-14,14:57:56
O que é RENDIMENTO e LIQUIDEZ e quais as diferenças? | Direto ao Ponto,1gYuuPFCqA0,75425,4235,125,2019-08-21 14:10:25+00:00,2019-08-21,14:10:25
Até onde vamos para encantar nossos clientes?,-gMAs4crV2k,111361,8316,476,2019-08-29 12:57:28+00:00,2019-08-29,12:57:28
NOVAS REGRAS de saques do FGTS: o que muda para você? | Direto ao Ponto,cnET5dg7v8k,42706,3963,156,2019-09-11 16:58:17+00:00,2019-09-11,16:58:17
Como guardar dinheiro na minha conta do Nubank?,bd4_R81pMD4,283308,22606,645,2019-09-18 13:58:25+00:00,2019-09-18,13:58:25
